id;name;LENGTH(name);infinitive;is_deleted
5768; базовые знания языка программирования С/С++;80; базовый знание язык программирование с/с++;1
155610;“подвешенный язык” — вести переговоры;73;“подвесить язык” — вести переговоры;1
94955;100% русского языка;32;100% русский язык;1
101523;Arm  на языках си;27;arm  на язык си;1
140463;Javascript css3 html5 php mysql английский язык;61;javascript css3 html5 php mysql английский язык;1
233561;Markup языки (HTML, XML);29;markup язык (html, xml);1
412358;Python и другие языки программирования;66;python и другой язык программирование;1
232469;Shell скриптовые языки;37;shell скриптовый язык;1
243076;SQL (Язык запросов);31;sql (язык запросов);1
264648;SQL и другие языки баз данных;50;sql и другой язык база данные;1
233036;SQL и другие языки запросов;47;sql и другой язык запрос;1
233155;SQL и другие языки программирования;63;sql и другой язык программирование;1
243042;SQL и языки запросов;34;sql и язык запрос;1
236548;SQL-язык запросов;29;sql-язык запрос;1
131155;X-язык;10;x-язык;1
88609;Yes языковой центр;31;yes языковой центр;1
113152;Z-язык;10;z-язык;0
234931;Автоматическая обработка естественного языка;85;автоматический обработка естественный язык;0
242452;Адаптация текстов под культуру корейского языка;89;адаптация текст под культура корейский язык;0
16471;Азербайджанский язык;39;азербайджанский язык;0
131460;Азиатские языки;29;азиатский язык;1
406729;Алгоритмические языки;41;алгоритмический язык;1
237370;Алгоритмы обработки естественного языка;75;алгоритм обработка естественный язык;0
237860;Анализ корпуса языка;38;анализ корпус язык;0
290107;Анализ письменного языка;46;анализ письменный язык;0
308430;Аналитика языка SQL;33;аналитика язык sql;1
98808;Аналитический поиск по российским и иностранным источникам на английском языке;147;аналитический поиск по российский и иностранный источник на английский язык;1
15593;англ язык (в 2);24;англ язык (в 2);1
416432;Английский и другие иностранные языки;70;английский и другой иностранный язык;1
141819;Английский или итальянский язык;59;английский или итальянский язык;1
332322;Английский морской язык;44;английский морской язык;1
246072;Английский юридический язык;52;английский юридический язык;1
134;Английский язык;29;английский язык;0
228122;Английский язык;29;английский язык;1
228123;Английский язык;29;английский язык;1
193492;Английский язык   А1  Начальный;55;английский язык   а1  начальный;1
97948;Английский язык  proficient;41;английский язык  proficient;1
87872;Английский язык  не ниже intermediate;57;английский язык  не ниже intermediate;1
156545;Английский язык  не обязателен;56;английский язык  не обязательный;1
98018;Английский язык - advanced;40;английский язык - advanced;1
15196;Английский язык - B1 - средний;51;английский язык - b1 - средний;1
101624;Английский язык - b1-средний;49;английский язык - b1-средний;1
155265;Английский язык - а1-начальный;54;английский язык - а1-начальный;1
122809;Английский язык - б2 - средне-продвинутый;73;английский язык - б2 - средне-продвинуть;1
106234;Английский язык - базовый;46;английский язык - базовый;1
15902;Английский язык - в совершенстве;59;английский язык - в совершенство;1
15573;Английский язык - выше среднего;57;английский язык - выше среднее;1
20980;Английский язык - начальный;50;английский язык - начальный;1
117060;Английский язык - технический;54;английский язык - технический;1
118449;Английский язык - элементарный;56;английский язык - элементарный;1
153839;Английский язык – не ниже b1;50;английский язык – не ниже b1;1
227368;Английский язык – средний уровень;63;английский язык – средний уровень;1
98077;Английский язык – технический  предпочтительно;88;английский язык – технический  предпочтительно;1
416404;Английский язык (Advanced);40;английский язык (advanced);1
379186;Английский язык (B2 уровень);49;английский язык (b2 уровень);1
239300;Английский язык (B2);34;английский язык (b2);1
241470;Английский язык (Business English);48;английский язык (business english);1
416778;Английский язык (C1-C2);37;английский язык (c1-c2);1
409315;Английский язык (C2);34;английский язык (c2);1
239063;Английский язык (Intermediate и выше);56;английский язык (intermediate и выше);1
5064;Английский язык (Intermediate);44;английский язык (intermediate);1
309638;Английский язык (Professional level);50;английский язык (professional level);1
210969;Английский язык (Upper Intermediate);50;английский язык (upper intermediate);1
15578;Английский язык (базовый уровень);61;английский язык (базовый уровень);1
239434;Английский язык (второй язык);53;английский язык (второй язык);1
299254;Английский язык (для обучения международного персонала);103;английский язык (длить обучение международный персонала);1
239872;Английский язык (для работы с международными операциями);104;английский язык (длить работа с международный операциями);1
224445;Английский язык (как преимущество);63;английский язык (как преимущество);1
332019;Английский язык (морская лексика);61;английский язык (морской лексика);1
332366;Английский язык (морской английский);67;английский язык (морской английский);1
11528;Английский язык (приветствуется);60;английский язык (приветствуется);1
329335;Английский язык (продвинутый уровень);69;английский язык (продвинуть уровень);1
414965;Английский язык (продвинутый);54;английский язык (продвинутый);1
330364;Английский язык (профессиональный уровень);79;английский язык (профессиональный уровень);1
313675;Английский язык (профессиональный);64;английский язык (профессиональный);1
330196;Английский язык (средний уровень);61;английский язык (средний уровень);1
233217;Английский язык (технический);54;английский язык (технический);1
329057;Английский язык (топик: авиация);58;английский язык (топик: авиация);1
252180;Английский язык (уровень Advanced);55;английский язык (уровень advanced);1
242708;Английский язык (уровень C1/C2);52;английский язык (уровень c1/c2);1
266493;Английский язык (уровень Intermediate и выше);71;английский язык (уровень intermediate и выше);1
12207;Английский язык (уровень intermediate);59;английский язык (уровень intermediate);1
171225;Английский язык (чтение технической документации);92;английский язык (чтение технический документации);1
247062;Английский язык (юридическая лексика);69;английский язык (юридический лексика);1
103301;Английский язык adobe photoshop таргетинг facebook ads facebook;86;английский язык adobe photoshop таргетинг facebook ads facebook;1
108923;Английский язык b2 - продвинутый;57;английский язык b2 - продвинуть;1
16942;Английский язык B2 Upper Intermediate+;52;английский язык b2 upper intermediate+;1
273413;Английский язык B2+;33;английский язык b2+;1
12753;Английский язык pre-intermediate;46;английский язык pre-intermediate;1
23230;Английский язык базовый;44;английский язык базовый;1
87342;Английский язык в 2 и выше;46;английский язык в 2 и выше;1
330243;Английский язык для авиации;51;английский язык для авиация;1
311870;Английский язык для общения с диспетчерами;79;английский язык для общение с диспетчер;1
242345;Английский язык для переговоров;59;английский язык для переговоры;1
259615;Английский язык для радиотелефонной связи;78;английский язык для радиотелефонный связь;1
239360;Английский язык для финансовых операций;74;английский язык для финансовый операция;1
156591;Английский язык на среднем уровне  в 1;68;английский язык на среднее уровень  в 1;1
134937;Английский язык на уровне общения;62;английский язык на уровень общение;1
96706;Английский язык на уровне основных финансовых терминов;102;английский язык на уровень основный финансовый термин;1
22219;Английский язык на уровне чтения технической документации;108;английский язык на уровень чтение технический документация;1
223303;Английский язык не ниже B2;46;английский язык не ниже b2;1
88972;Английский язык не ниже upper-intermediate;62;английский язык не ниже upper-intermediate;1
172403;Английский язык переписка;48;английский язык переписка;1
242760;Английский язык письменный;50;английский язык письменный;1
116217;Английский язык приветствуется;58;английский язык приветствоваться;1
156035;Английский язык продвинутый уровень;67;английский язык продвинуть уровень;1
242761;Английский язык разговорный;52;английский язык разговорный;1
108733;Английский язык с2 - в совершенстве;63;английский язык с2 - в совершенство;1
91763;Английский язык свободный деловой;63;английский язык свободный деловой;1
331652;Английский язык технический;52;английский язык технический;1
22924;Английский язык уровень B2;47;английский язык уровень b2;1
89004;Английский язык- уровень upper- intermediate;65;английский язык- уровень upper- intermediate;1
126497;Английский язык- чтение технической литературы;87;английский язык- чтение технический литература;1
132057;Английский язык-в1-средний;48;английский язык-в1-средний;1
96357;Английским языком на уровне advanced;60;английский язык на уровень advanced;1
141969;Английского или немецкого языка;59;английский или немецкий язык;1
89568;Английского языка  от b1;42;английский язык  от b1;1
99764;Английского языка  разговорный  - обязательно;83;английский язык  разговорный  - обязательно;1
165808;Английского языка (от B1);43;английский язык (от b1);1
137192;Английского языка будет преимуществом;71;английский язык быть преимущество;1
117605;Английского языка в объёме;49;английский язык в объём;1
154111;Английского языка на уровне достаточном для чтения технической документации;142;английский язык на уровень достаточный для чтение технический документация;1
134332;Английского языка на уровне носителя;68;английский язык на уровень носитель;1
101204;Английского языка на уровне разговорного;76;английский язык на уровень разговорный;1
94474;Английского языка является преимуществом;77;английский язык являться преимущество;1
98291;Английского языка-преимущество;58;английский язык-преимущество;1
6887;Арабский язык;25;арабский язык;0
89481;Арабский язык - b2 - средне-продвинутый;68;арабский язык - b2 - средне-продвинуть;1
17889;Армянский язык;27;армянский язык;0
242764;Аудирование на иностранном языке;61;аудирование на иностранный язык;0
403307;Базовое понимание иностранных языков;69;базовый понимание иностранный язык;1
172909;Базовые знания английского языка;61;базовый знание английский язык;1
402791;Базовые знания иностранных языков;63;базовый знание иностранный язык;1
251159;Базовый программирующие языки (HTML, CSS);68;базовый программировать язык (html, css);1
404146;Базовый язык страны назначения;57;базовый язык страна назначение;1
148794;Базовых конструкции языка;48;базовый конструкция язык;1
8247;Башкирский язык;29;башкирский язык;0
242082;Беглость двух и более языков;52;беглость два и более язык;1
109114;Беглый разговорный английский язык;65;беглый разговорный английский язык;1
17121;Белорусский язык;31;белорусский язык;0
121174;Бенгальский язык;31;бенгальский язык;0
404225;Бизнес-переговоры на иностранных языках;74;бизнес-переговоры на иностранный язык;1
260773;Билингвизм и языковая адаптация;59;билингвизм и языковой адаптация;1
11708;Болгарский язык;29;болгарский язык;0
295053;Более одного языка;34;более один язык;1
104420;Быстро находить с людьми общий язык;65;быстро находить с человек общий язык;1
20984;Ведение деловой переписки на английском языке;85;ведение деловой переписка на английский язык;1
166797;Ведение деловой переписки на иностранных языках;89;ведение деловой переписка на иностранный язык;1
416749;Ведение делопроизводства (англ язык);67;ведение делопроизводство (англ язык);1
308906;Ведение документации на английском языке;76;ведение документация на английский язык;1
418608;ведение переговоров и заключение договоров фрахтования морских судов, знание морской практики перевозок и тонкостей фрахтовой деятельности, владение разговорным и письменным английским языком;359;ведение переговоры и заключение договор фрахтование морской судов, знание морской практика перевозка и тонкость фрахтовый деятельности, владение разговорный и письменный английский язык;1
414884;Ведение переговоров на иностранных языках;78;ведение переговоры на иностранный язык;1
15629;Ведение переписки на английском языке;70;ведение переписка на английский язык;1
6506;Ведение переписки на иностранном языке;72;ведение переписка на иностранный язык;1
11710;Венгерский язык;29;венгерский язык;0
242108;Верховное владение иностранными языками;75;верховный владение иностранный язык;1
133497;Вести урок на немецком языке;52;вести урок на немецкий язык;1
242438;Виртуозное владение корейским языком;69;виртуозный владение корейский язык;1
107772;Включая методики раннего обучения языкам;76;включая методика ранний обучение язык;1
242480;Владение корейским языком;48;владение корейский язык;1
242154;Владение несколькими языками;54;владение несколько язык;1
244691;Владение языками;31;владение язык;1
238365;Владение языками программирования (Java, Python, etc);84;владение язык программирование (java, python, etc);1
252543;Владение языком R;31;владение язык r;1
300197;Владение языком программирования C/C++;68;владение язык программирование c/c++;1
23858;Внутренний язык АБС;36;внутренний язык абс;1
159087;Восточные языки;29;восточный язык;1
15465;Встроенный язык 1с;33;встроить язык 1с;1
415978;Второй иностранный язык;44;второй иностранный язык;1
414966;Второй иностранный язык (базовый);61;второй иностранный язык (базовый);1
3643;Вы коммуникабельны и легко находите общий язык с другими людьми;117;вы коммуникабельный и легко находить общий язык с другой человек;1
264764;Высокий уровень английского языка;63;высокий уровень английский язык;1
102489;Высокий уровень владения английским языком;80;высокий уровень владение английский язык;1
99683;Высокий уровень владения иностранным языком;82;высокий уровень владение иностранный язык;1
252966;Высокий уровень знания иностранного языка;78;высокий уровень знание иностранный язык;1
9777;Вьетнамский язык;31;вьетнамский язык;0
227959;Гибкий подход к преподаванию английского языка;87;гибкий подход к преподавание английский язык;1
242659;Глубокий уровень французского языка;67;глубокий уровень французский язык;1
242535;Глубокое освоение двух языков;55;глубокий освоение два язык;1
8263;Голландский язык;31;голландский язык;0
99221;Государственного языка;43;государственный язык;1
409350;Грамматика английского языка;54;грамматика английский язык;1
242071;Грамотное письмо на разных языках;62;грамотный письмо на разный язык;1
251908;Грамотное русское язык;42;грамотный русский язык;1
409304;Грамотность английского языка;56;грамотность английский язык;1
252179;Грамотность и стилистика русского языка;74;грамотность и стилистика русский язык;1
408251;Грамотность и стилистика языка;57;грамотность и стилистика язык;1
242774;Грамотность иностранного языка;58;грамотность иностранный язык;1
410522;Грамотность иностранных языков;58;грамотность иностранный язык;1
242319;Грамотность китайского языка;54;грамотность китайский язык;1
407889;Грамотность на иностранном языке;61;грамотность на иностранный язык;1
416615;Грамотность на иностранных языках;63;грамотность на иностранный язык;1
242095;Грамотность на родном языке;51;грамотность на родный язык;1
242701;Грамотность на японском языке;55;грамотность на японский язык;1
252965;Грамотность родного языка;48;грамотность родный язык;1
242736;Грамотность русского языка;50;грамотность русский язык;1
252070;Грамотность, стилистика русского языка;72;грамотность, стилистика русский язык;1
1979;Грамотный русский язык;42;грамотный русский язык;1
144065;Греческий язык;27;греческий язык;0
416147;Греческий, латинский языки;49;греческий, латинский язык;1
15246;Грузинский язык;29;грузинский язык;0
6540;Датский язык;23;датский язык;0
90456;Два иностранных языка;40;два иностранный язык;1
11545;Деловая переписка на английском языке;70;деловой переписка на английский язык;1
239801;Деловая переписка на иностранных языках;74;деловой переписка на иностранный язык;1
75140;Деловой и технический английский язык;70;деловой и технический английский язык;1
98454;Деловой язык;23;деловой язык;1
416246;Деловые переговоры на английском языке;72;деловой переговоры на английский язык;1
416736;Делопроизводство на иностранных языках;73;делопроизводство на иностранный язык;1
406068;Дидактика русского языка;46;дидактик русский язык;1
227981;Дискуссии на английском языке;55;дискуссия на английский язык;1
160739;Договоры на английском языке;53;договор на английский язык;1
414845;Дополнительный иностранный язык;60;дополнительный иностранный язык;1
252551;Дополнительный язык (французский, испанский);82;дополнительный язык (французский, испанский);1
415438;Другие иностранные языки;46;другой иностранный язык;1
416572;Другие иностранные языки (китайский, испанский, арабский и др);113;другой иностранный язык (китайский, испанский, арабский и др);1
242377;Естественная обработка языка;54;естественный обработка язык;0
231906;Естественные языки запросов;52;естественный язык запрос;0
114978;Еще один язык к английскому;50;ещё один язык к английский;1
109993;Жестового языка;29;жестовый язык;1
232696;Запросы на языке MQL;34;запрос на язык mql;1
237830;Запросы на языке SQL;34;запрос на язык sql;1
254304;Знание армейского жестового языка;63;знание армейский жестовый язык;1
415451;Знание второго иностранного языка;63;знание второй иностранный язык;1
416085;Знание испанского языка;44;знание испанский язык;1
242167;Знание истории и культуры страны изучаемого языка;92;знание история и культура страна изучать язык;1
409378;Знание методик преподавания иностранных языков;88;знание методика преподавание иностранный язык;0
409385;Знание нескольких иностранных языков;69;знание несколько иностранный язык;1
409394;Знание основ истории и культуры стран изучаемого языка;101;знание основа история и культура страна изучать язык;1
409387;Знание программного обеспечения для обучения языкам;97;знание программный обеспечение для обучение язык;1
233796;Знание языка C++;27;знание язык c++;1
235740;Знание языка Python;30;знание язык python;1
236464;Знание языка ассемблера;44;знание язык ассемблер;1
372106;Знание языка оригинала;42;знание язык оригинал;1
243675;Знание языков HTML/CSS;34;знание язык html/css;1
235253;Знание языков программирования (Scala, R);69;знание язык программирование (scala, r);1
236193;Знание языков программирования C# / Python;70;знание язык программирование c# / python;1
406697;Знание языков программирования Python, Java;71;знание язык программирование python, java;1
260750;Знание языковых кодов и шифров;56;знание языковой код и шифр;1
196093;Знать английский или несколько языков;70;знать английский или несколько язык;1
146627;Знать национальный язык;44;знать национальный язык;1
118231;Идеальное русским языком;46;идеальный русский язык;1
242641;Идеальный французский язык;50;идеальный французский язык;1
260679;Идентификация языковых и диалектных особенностей;92;идентификация языковой и диалектный особенность;1
235391;Изучение и обработка естественного языка (NLP);82;изучение и обработка естественный язык (nlp);1
409395;Изучение иностранных языков;52;изучение иностранный язык;1
304597;Изучение литературы на иностранных языках;78;изучение литература на иностранный язык;1
408136;Изучение языка C++;31;изучение язык c++;1
399600;Изучение языков;29;изучение язык;1
260676;Изучение языковых закономерностей;64;изучение языковой закономерность;0
147333;Или китайского языка;38;или китайский язык;1
132209;Индийский язык;27;индийский язык;0
21953;Индонезийский язык;35;индонезийский язык;0
416585;Иностранные всеобщие языки (английский, китайский, арабский);111;иностранный всеобщий язык (английский, китайский, арабский);1
1512;Иностранные языки;33;иностранный язык;1
414876;Иностранные языки (английский, испанский, китайский);96;иностранный язык (английский, испанский, китайский);1
415563;Иностранные языки (английский, французский, немецкий);98;иностранный язык (английский, французский, немецкий);1
415966;Иностранные языки (английский, французский);80;иностранный язык (английский, французский);1
416524;Иностранные языки (китайский, французский и др);86;иностранный язык (китайский, французский и др);1
414944;Иностранные языки (минимум 2);52;иностранный язык (минимум 2);1
410123;Иностранные языки (немецкий, испанский);72;иностранный язык (немецкий, испанский);1
193608;Иностранные языки (приветствуются);64;иностранный язык (приветствуются);1
409412;Иностранные языки (родной +2);51;иностранный язык (родный +2);1
415487;Иностранные языки (французский, испанский);78;иностранный язык (французский, испанский);1
240489;Иностранные языки: английский, немецкий;73;иностранный языки: английский, немецкий;1
240362;Иностранный язык (английский обычно);67;иностранный язык (английский обычно);1
407257;Иностранный язык (английский);54;иностранный язык (английский);1
341088;Иностранный язык (для чтения специализированной литературы);111;иностранный язык (длить чтение специализировать литературы);1
278050;Иностранный язык (латинский, английский) для чтения медицинской литературы;138;иностранный язык (латинский, английский) для чтение медицинский литература;1
68335;Иностранный язык (чтение и понимание технической литературы);112;иностранный язык (чтение и понимание технический литературы);1
261718;Иностранный язык для служебных переговоров;80;иностранный язык для служебный переговоры;1
101654;Иностранных языков  узбекский;55;иностранный язык  узбекский;1
409408;Интеграция иностранных языков;56;интеграция иностранный язык;0
372063;Интерпретация иностранных языков;62;интерпретация иностранный язык;0
155973;Исландский язык;29;исландский язык;0
1778;Испанский язык;27;испанский язык;0
133103;Испанский язык c1;30;испанский язык c1;1
237841;Использование API для языков;50;использование api для язык;1
290146;Использование SASL (Южноафриканский жестовый язык);90;использование sasl (южноафриканский жестовый язык);1
243001;Использование программистских языков (Python, R);82;использование программистский язык (python, r);1
231883;Использование языка Python;44;использование язык python;1
409328;Использование языкового дерева;58;использование языковой дерево;1
290123;Исследование бессознательных языковых процессов;91;исследование бессознательный языковой процесс;0
260743;Исследование языкового профайлинга;66;исследование языковой профайлинг;0
227960;Исследовательский подход к изучению языка;78;исследовательский подход к изучение язык;0
406171;История литературных языков;52;история литературный язык;0
406022;История русского языка;42;история русский язык;0
260698;История языков;27;история язык;0
4900;Итальянский язык;31;итальянский язык;0
448;Казахский язык;27;казахский язык;0
155280;Казахского языка обязательно;54;казахский язык обязательно;1
242294;Калкирование между разными языками;65;калкирование между разный язык;0
146215;Киргизки - продвинутый язык;50;киргизка - продвинуть язык;1
140042;Киргизский язык;29;киргизский язык;0
6526;Китайский технический язык;50;китайский технический язык;1
6512;Китайский язык;27;китайский язык;0
157899;Китайский язык - hsk 4-5;37;китайский язык - hsk 4-5;1
15572;Китайский язык - выше среднего;55;китайский язык - выше среднее;1
107544;Китайский язык - продвинутый;52;китайский язык - продвинуть;1
415615;Китайский язык (свободный);48;китайский язык (свободный);1
151780;Китайский язык 5 hsk;33;китайский язык 5 hsk;1
164193;Китайский язык в совершенстве;55;китайский язык в совершенство;1
137555;Китайский язык разговорный;50;китайский язык разговорный;1
137999;Китайский язык уровень 5-6 hsk;50;китайский язык уровень 5-6 hsk;1
97542;Китайского и английского языков;59;китайский и английский язык;1
143802;Китайского языка на базовом уровне;64;китайский язык на базовый уровень;1
416560;Классические языки;35;классический язык;1
97588;Ключевое требование - русский язык;63;ключевой требование - русский язык;1
68196;Кодировать на языках программирования;71;кодировать на язык программирование;1
416382;Командование иностранными языками;64;командование иностранный язык;1
347234;Командование языками сигналами;58;командование язык сигнал;1
415580;Комерческий английский язык;52;комерческий английский язык;1
414896;Коммерческий английский язык;54;коммерческий английский язык;1
415771;Коммуникативные на нескольких языках;69;коммуникативный на несколько язык;1
237819;Компиляция языковых корпусов;54;компиляция языковой корпус;0
416055;Комфортное владение иностранными языками;77;комфортный владение иностранный язык;1
249727;Контент-маркетинг на иностранных языках;74;контент-маркетинг на иностранный язык;0
415664;Контрактная документация на иностранных языках;88;контрактный документация на иностранный язык;0
242248;Копирайтинг на иностранном языке;61;копирайтинг на иностранный язык;0
6574;Корейский язык;27;корейский язык;0
416746;Корпоративная документация (англ язык);71;корпоративный документация (англ язык);1
88581;Корректура английского языка;54;корректура английский язык;1
242767;Корректура текстов на языке перевода;68;корректура текст на язык перевод;1
415919;Корреспонденция на английском языке;67;корреспонденция на английский язык;0
125721;Кыргызский язык;29;кыргызский язык;0
211865;Латинский язык;27;латинский язык;0
87177;Латышский язык;27;латышский язык;0
10386;Легко нахожу общий язык с людьми;59;легко находить общий язык с человек;1
409351;Лексикография английского языка;60;лексикография английский язык;1
395367;Лексикология японского языка;54;лексикология японский язык;1
416150;Лингвистическая компетенция (минимум три иностранных языка);111;лингвистический компетенция (минимум три иностранный языка);1
2045;Литовский язык;27;литовский язык;0
95009;Любого современного языка программирования;81;любой современный язык программирование;1
141976;Малазийский язык;31;малазийский язык;0
148042;Малайский язык;27;малайский язык;0
104942;Малайский язык  бахаса;41;малайский язык  бахас;1
113904;Мексиканский язык;33;мексиканский язык;1
130151;Методик преподавания английского языка;73;методика преподавание английский язык;1
116798;Методик раннего обучения языкам;59;методика ранний обучение язык;1
121309;Методика обучения немецкому языку;63;методика обучение немецкий язык;1
406001;Методика обучения русскому языку;61;методика обучение русский язык;1
409366;Методика преподавания английского языка;75;методика преподавание английский язык;1
406033;Методика преподавания русского языка;69;методика преподавание русский язык;1
130442;Методики обучения иностранным языкам;69;методика обучение иностранный язык;0
409364;Методики оценки английского языка;63;методика оценка английский язык;1
94374;Методики преподавания иностранного языка;77;методика преподавание иностранный язык;1
408180;Методики преподавания иностранных языков;77;методика преподавание иностранный язык;0
406071;Методики преподавания русского языка;69;методика преподавание русский язык;1
406046;Методики преподавания языкознания;64;методика преподавание языкознание;0
406043;Методы стимулирования интереса к русскому языку;89;метод стимулирование интерес к русский язык;1
242287;Многих языков перевод;40;многий язык перевод;1
237363;Моделирование языковых структур;60;моделирование языковой структура;1
238013;Модульные и объектно-ориентированные языки программирования;113;модульный и объектно-ориентированный язык программирование;1
145618;Молдавский - продвинутый язык;54;молдавский - продвинуть язык;1
15255;Молдавский язык;29;молдавский язык;0
15241;Монгольский язык;31;монгольский язык;0
237892;Морфологический и синтаксический разбор языка;86;морфологический и синтаксический разбор язык;0
417389;Навык письменного перевода на иностранном языке;89;навык письменный перевод на иностранный язык;0
98469;Найти общий язык с любым малышом;59;найти общий язык с любой малыш;1
416068;Написание пресс-релизов на иностранных языках;85;написание пресс-релиз на иностранный язык;0
252650;Написание текстов на известен языке;66;написание текст на известный язык;1
97342;Написание текстов на русском языке;64;написание текст на русский язык;1
98241;Написание текстов на французском языке;72;написание текст на французский язык;1
133834;Находить общий язык;36;находить общий язык;1
93981;Находить общий язык в коллективе;60;находить общий язык в коллектив;1
88796;Находить общий язык с любым покупателем;73;находить общий язык с любой покупатель;1
99316;Находить общий язык с родителями;60;находить общий язык с родитель;1
25033;Нейрокогнитивные механизмы языка и речи;74;нейрокогнитивный механизм язык и речь;0
2040;Немецкий язык;25;немецкий язык;0
98792;Немецкий язык отв 1;34;немецкий язык отв 1;1
163634;Нескольких языков;33;несколько язык;1
6560;Нидерландский язык;35;нидерландский язык;0
93781;Но не базовое английского языка;58;но не базовый английский язык;1
8264;Норвежский язык;29;норвежский язык;0
151587;Носитель грузинского языка;50;носитель грузинский язык;1
121667;Носитель языка;27;носитель язык;1
5380;Обработка естественного языка;56;обработка естественный язык;0
235373;Обработка естественного языка (NLP);62;обработка естественный язык (nlp);1
252526;Обработка текста в нескольких языках;68;обработка текст в несколько язык;0
237866;Обработка текстов на нескольких языках;72;обработка текст на несколько язык;0
237810;Обучаемые языковые модели;48;обучать языковой модель;0
91160;Обучать английскому языку;48;обучать английский язык;1
6539;Обучение английскому языку;50;обучение английский язык;1
240256;Обучение иностранным языкам;52;обучение иностранный язык;1
237624;Обучение машинам языкам;44;обучение машина язык;0
232772;Общение на английском языке;51;общение на английский язык;1
264632;Общение на иностранных языках;55;общение на иностранный язык;1
409361;Объективная оценка уровня языка;59;объективный оценка уровень язык;0
276983;Объяснение доступом языком медицинских вопросов;90;объяснение доступ язык медицинский вопрос;1
91419;Объяснять сложное простым языком;61;объяснять сложный простой язык;1
87224;Одного или нескольких языков;53;один или несколько язык;1
264575;Описание товара на иностранном языке;68;описание товар на иностранный язык;0
260686;Определение льющего языка;48;определение лить язык;1
2825;Организация обучения иностранным языкам;75;организация обучение иностранный язык;0
237397;Освоение языка JavaScript;38;освоение язык javascript;1
238129;Основы PCL (язык промышленного программирования);87;основа pcl (язык промышленный программирования);1
261479;Основы иностранного языка для коммуникации;80;основа иностранный язык для коммуникация;0
406083;Основы лексикологии и стилистики русского языка;89;основа лексикология и стилистика русский язык;1
405869;Основы преподавания иностранного языка;73;основа преподавание иностранный язык;0
370698;Основы работы с текстами на иностранных языках;86;основа работа с текст на иностранный язык;0
92117;Основы разработки на языках с;54;основа разработка на язык с;1
68812;Основы технического английского языка;71;основа технический английский язык;1
237895;Основы языка Python;30;основа язык python;1
242217;Отличное владение иностранными языками;73;отличный владение иностранный язык;1
242058;Отличное владение несколькими языками;71;отличный владение несколько язык;1
242399;Отличное знание английского языка;63;отличный знание английский язык;1
242273;Отличное знание иностранных языков;65;отличный знание иностранный язык;1
242398;Отличное знание китайского языка;61;отличный знание китайский язык;1
97481;Отличные английского языка;50;отличный английский язык;1
242009;Оформление документов на иностранном языке;80;оформление документ на иностранный язык;0
242180;Оценка языковых компетенций;52;оценка языковой компетенция;0
409320;Оценка языковых навыков;44;оценка языковой навык;0
242802;Перевод на архаический язык;51;перевод на архаический язык;0
